date,startup,industry,subvertical,city,investors,investment_type,amount
21-10-2015,zenify,Unknown,Unknown,Bengaluru,Atul Jalan,Seed Funding,640000
23-10-2015,medd,HealthTech,Online Diagnostics,Mumbai,Group of Angel investors,Seed Funding,150000
23-10-2015,leaping caravan,Travel & Tourism,Tour Operator,Gurugram,Group of Angel investors,Seed Funding,150000
23-10-2015,frsh,E-commerce,Daily Essentials Delivery,Gurugram,Mumbai Angels,Private Equity,1000000
23-10-2015,qik stay,Hospitality,Short-term Rentals,New Delhi,ID Enablers Pvt Ltd,Seed Funding,250000
26-10-2015,parcelled,Logistics,On-demand Delivery,Bengaluru,Delhivery,Private Equity,5000000
26-10-2015,almamapper,EdTech,Alumni Management,Ahmedabad,Oswal Techno Ventures LLP,Seed Funding,400000
26-10-2015,flexing it,Unknown,Unknown,New Delhi,undisclosed private investors,Seed Funding,500000
26-10-2015,netmeds,Healthcare,Online Pharmacy,Chennai,OrbiMed,Private Equity,50000000
26-10-2015,razorpay,FinTech,Payment Gateway,Jaipur,Tiger Global Management,Private Equity,9000000
27-10-2015,happitoo,Unknown,Unknown,Mumbai,Unnamed investor,Seed Funding,77000
27-10-2015,care24,Healthcare,Home Healthcare Services,Mumbai,India Quotient,Seed Funding,350000
27-10-2015,roadrunnr,Logistics,Hyper-local Delivery,Bengaluru,Sequoia Capital,Private Equity,10000000
28-10-2015,origa leasing,Financial Services,Leasing,Mumbai,ah! Ventures,Seed Funding,1100000
28-10-2015,smartivity,Education,STEM Education,New Delhi,S Chand and Co Pvt Ltd,Seed Funding,200000
29-10-2015,zophop,Transportation,Public Transit,Mumbai,Amit Singhal,Seed Funding,450000
30-10-2015,lifto,Unknown,Unknown,Mumbai,Rajesh Bhatia,Seed Funding,130000
30-10-2015,tinyowl,FoodTech,Online Food Ordering,Mumbai,Sequoia Capital,Private Equity,7500000
30-10-2015,toppr,EdTech,Online Tutoring & Test Prep,Mumbai,InnoVen Capital,Private Equity,2000000
30-10-2015,kleeto,Information Technology,Document Management,Gurugram,GREX,Seed Funding,230000
30-10-2015,beaconstalk,Unknown,Unknown,Mumbai,Puneet Bhatia & others,Seed Funding,80000
31-10-2015,jugnoo,Transportation,Ride-Hailing,Chandigarh,Paytm,Private Equity,10000000
01-09-2015,toflo,Unknown,Unknown,Mumbai,Tania Johny Palathinkal,Seed Funding,100000
01-09-2015,stylecracker,Fashion,Personal Styling,Mumbai,Group of HNI investors,Private Equity,1000000
01-09-2015,luxuryhues,Beauty & Cosmetics,Color Cosmetics,Gurugram,Reliance Capital,Private Equity,900000
02-09-2015,zivame,E-commerce,Lingerie & Intimate Wear,Bengaluru,Zodius Technology Fund,Private Equity,40000000
02-09-2015,capillary tech,Enterprise Software,Customer Engagement Platform,New Delhi,Warburg Pincus,Private Equity,45000000
03-09-2015,jobspire,Human Resources,Recruitment Platform,Bengaluru,Purvi Capital,Seed Funding,260000
03-09-2015,vistaar finance,Financial Services,MSME Lending,Bengaluru,WestBridge Capital,Private Equity,40000000
04-09-2015,clapsnslaps,Unknown,Unknown,Mumbai,R M Picture Company Pvt. Ltd.,Seed Funding,150000
04-09-2015,blubox,Logistics,Automated Parcel Lockers,Mumbai,Ashish Jhalani,Seed Funding,100000
04-09-2015,roomcentral,Hospitality,Property Management System,Bengaluru,Karanpal Singh,Seed Funding,2000000
07-09-2015,youthkiawaaz,Media,Digital News & Opinion,New Delhi,Raghav Bahl,Seed Funding,600000
07-09-2015,prozo,Supply Chain,E-commerce Fulfillment,New Delhi,Nalin Jain,Seed Funding,205000
07-09-2015,zomato,Food Services,Online Restaurant Aggregator,Gurugram,Temasek,Private Equity,60000000
07-09-2015,sahayog dairy,Food & Beverage,Dairy Products,Bhopal,Acumen Fund,Private Equity,1800000
08-09-2015,mockbank,FinTech,Financial API Sandbox,Bengaluru,Blume Ventures,Seed Funding,400000
10-09-2015,onlinetyari,EdTech,Test Preparation,Gurugram,500 Startups,Private Equity,770000
10-09-2015,industrybuying,E-commerce,Industrial B2B E-commerce,New Delhi,Kalaari Capital,Private Equity,9200000
10-09-2015,the/nudge foundation,Non-Profit,Poverty Alleviation,Bengaluru,Nanadan Nilekani,Seed Funding,315000
11-09-2015,fitmein,HR Tech,Employee Engagement,New Delhi,Green House Ventures,Seed Funding,100000
12-09-2015,credr,Automotive,Used Two-Wheeler Marketplace,Mumbai,Eight Road Ventures,Private Equity,15000000
14-09-2015,canvasflip,Design Software,UX Prototyping & Usability Testing,Hyderabad,Bessemer Venture Partners,Seed Funding,1200000
14-09-2015,shadowfax,Logistics,Last-mile Logistics,Gurugram,Eight Roads Ventures,Private Equity,9000000
14-09-2015,ue life sciences,Life Sciences,Biotechnology,USA,Aarin Capital,Private Equity,3000000
14-09-2015,ola cabs,On-Demand Mobility,Ride-Hailing,Bengaluru,Falcon Edge Capital,Private Equity,225000000
15-09-2015,coverfox,FinTech,InsurTech,Mumbai,Cataraman Ventures,Private Equity,2000000
15-09-2015,mengage,Marketing Technology,Mobile Engagement Platform,Bengaluru,Helion Venture Partners,Private Equity,4250000
15-09-2015,tea trails,Hospitality,Tourism,Mumbai,Anil Matai,Seed Funding,1000000
15-09-2015,room on call,Hospitality,Online Hotel Aggregator,Noida,Payal Syal,Seed Funding,300000
16-09-2015,chaipoint,Food & Beverage,Beverage Chain,Bengaluru,Eight Roads Ventures,Private Equity,10000000
16-09-2015,wedmegood,Wedding Services,Online Wedding Marketplace,Gurugram,Indian Angel Network,Seed Funding,410000
16-09-2015,xstok,E-commerce,B2B Textile Marketplace,Mumbai,Oliphans Capital,Seed Funding,450000
17-09-2015,yepme,E-commerce,Fashion & Lifestyle,Gurugram,Khazanah Nasional Berhad,Private Equity,75000000
17-09-2015,bueno,Food Tech,Automated Retail,Gurugram,High Networth Individuals (No details),Seed Funding,600000
18-09-2015,plabro,Real Estate,PropTech,New Delhi,Sachin Bansal & Binny Bansal,Seed Funding,350000
18-09-2015,curejoy,Health & Wellness,Natural Health Content Platform,Bengaluru,Accel Partners,Private Equity,1150000
18-09-2015,briston technomach,Industrial Machinery,Machine Tools,New Delhi,Undisclosed,Seed Funding,150000
18-09-2015,labstreet,HealthTech,Diagnostic Services,Gurugram,Multiple investors,Seed Funding,150000
21-09-2015,portea medical,Healthcare,Home Healthcare,Bengaluru,Accel Partners,Private Equity,37500000
21-09-2015,neotrade analytics,FinTech,Trading Analytics,Bengaluru,Rainmatter,Seed Funding,235000
21-09-2015,lafalafa,Affiliate Marketing,Cashback & Coupon Platform,Mumbai,500 Startups,Seed Funding,125000
22-09-2015,bestdealfinance,FinTech,Lending Marketplace,Mumbai,Kalaari Capital,Private Equity,3000000
22-09-2015,virtual logic,Artificial Intelligence,AI Software,Bengaluru,Swarnim Multiventures,Private Equity,800000
22-09-2015,furdo,Unknown,Unknown,Bengaluru,Bhavdeep Reddy,Seed Funding,400000
22-09-2015,loginext,Logistics Tech,Delivery & Field Service Management Software,Mumbai,Paytm,Private Equity,10000000
22-09-2015,korra,Mobility,Electric Vehicle Mobility,New Delhi,Asha Jadeja Motwani & Others,Seed Funding,300000
23-09-2015,silverpush,AdTech,Programmatic Advertising,Gurugram,M&S Partners,Private Equity,1200000
23-09-2015,juggernaut,Media,Digital Publishing,New Delhi,William Bissell,Private Equity,2250000
23-09-2015,innerchef,Foodtech,Meal Delivery Service,New Delhi,Phanindra Sama,Private Equity,1750000
24-09-2015,quintype,Media Technology,Digital Publishing Platform,Bengaluru,Raghav Bahl,Private Equity,3300000
24-09-2015,capabiliti,EdTech,Skills Development Platform,Noida,500 Startups,Seed Funding,400000
24-09-2015,fourth partner energy,Renewable Energy,Solar Power Solutions,Hyderabad,Infuse Ventures,Private Equity,2000000
24-09-2015,licious,Food & Beverage,Online Meat & Seafood Delivery,Bengaluru,Kanwaljit Singh,Seed Funding,1000000
28-09-2015,ola cabs,Mobility,Ride-Hailing,Bengaluru,Didi Kuaidi,Private Equity,30000000
29-09-2015,paytm,FinTech,Digital Payments,New Delhi,Alibaba Group,Private Equity,680000000
29-09-2015,inmobi,AdTech,Mobile Advertising Platform,Bengaluru,Tennenbaum Capital Partners & Others,Private Equity,100000000
29-09-2015,peppertap,E-commerce,Grocery Delivery,Gurugram,Sequoia India,Private Equity,36000000
29-09-2015,zakoopi,Beauty and Wellness,Online Booking Platform,New Delhi,Uniqorn Ventures,Seed Funding,350000
30-09-2015,infoworks,Enterprise Software,DataOps Platform,Bengaluru,Nexus Venture Partners,Private Equity,5000000
30-09-2015,reddoorz,Travel & Hospitality,Budget Hotel Aggregator,Noida,Jungle Ventures,Seed Funding,1000000
30-09-2015,eywa media,Marketing Technology,Media Monitoring,Bengaluru,ah! Ventures,Seed Funding,1000000
01-08-2015,snapdeal,E-commerce,Online Marketplace,New Delhi,Alibaba,Private Equity,500000000
01-08-2015,ressy,Hospitality Tech,Restaurant Reservation Platform,Pune,Mohandas Pai & others,Seed Funding,400000
03-08-2015,connect india,Logistics,E-commerce Logistics,New Delhi,Aavishkaar,Private Equity,5000000
03-08-2015,oyo rooms,Hospitality,Online Accommodation Platform,New Delhi,SoftBank Group,Private Equity,100000000
03-08-2015,wizrocket,Marketing Technology,Customer Engagement Platform,Mumbai,Sequoia Capital,Private Equity,9600000
04-08-2015,pickingo,Logistics,Delivery Management Platform,New Delhi,Orios Venture Partners,Private Equity,1300000
05-08-2015,grex,Information Technology,Software Development,Pune,Kunal Bajaj,Seed Funding,650000
05-08-2015,lets transport,Logistics,Freight Marketplace,Bengaluru,Rebright Partners,Seed Funding,1300000
05-08-2015,zo rooms,Hospitality,Accommodation Aggregator,New Delhi,Tiger Global Management,Private Equity,30000000
05-08-2015,doormint,Consumer Services,On-demand Home Services,Mumbai,Helion Venture Partners,Private Equity,3000000
05-08-2015,nightstay,Travel Technology,Online Hotel Booking,Noida,BedRock Ventures,Seed Funding,500000
05-08-2015,sunday realty solutions,Real Estate,PropTech,Mumbai,Ramesh Jogani,Seed Funding,785000
06-08-2015,appvigil,Cybersecurity,Application Security Testing,Mumbai,Ravi Gururaj,Seed Funding,500000
06-08-2015,practo,HealthTech,Online Healthcare Platform,Bengaluru,Sofina,Private Equity,90000000
06-08-2015,ketto,FinTech,Crowdfunding,Mumbai,Chennai Angels,Seed Funding,700000
06-08-2015,ezetap,FinTech,POS Solutions,Bengaluru,Horizons Ventures,Private Equity,25000000
07-08-2015,carl's jr,Food & Beverage,Quick Service Restaurant (QSR),Gurugram,YouWeCan Ventures,Seed Funding,630000
07-08-2015,easyrewardz,Marketing Technology,Loyalty Management Platform,Mumbai,Wealth First,Private Equity,500000
10-08-2015,mytaxiindia,Transportation,Ride-Hailing,Gurugram,Nihon Kotsu,Private Equity,500000
10-08-2015,esadar,Unknown,Unknown,New Delhi,Neha Vats,Seed Funding,80000
10-08-2015,mypoolin,FinTech,Group Expense Management,New Delhi,QPrize from Qualcomm Ventures,Seed Funding,250000
10-08-2015,nearbuy (previously groupon india),E-commerce,Deals & Coupons,New Delhi,Sequoia Capital,Private Equity,16000000
10-08-2015,ink monk,"Based on the name ""ink monk,"" it strongly suggests a business related to tattooing or perhaps intricate ink-based art.

**Personal Services",Tattoo Studio**,Chennai,Girish Mathrubootham,Seed Funding,250000
10-08-2015,tonetag,FinTech,Sound-based Payment Technology,Bengaluru,Reliance Capital Venture,Private Equity,1000000
10-08-2015,grey orange,Robotics,Warehouse Automation,Gurugram,Tiger Global Management,Private Equity,30000000
11-08-2015,livspace,Home Services,Interior Design & Renovation,Bengaluru,Helion Ventures,Private Equity,8000000
11-08-2015,wow! momo,Food & Beverage,Quick Service Restaurant (QSR),Kolkata,Indian Angel Network,Seed Funding,1600000
11-08-2015,raan,Unknown,Unknown,Pune,Ajeet Khurana & Others,Seed Funding,100000
11-08-2015,allygrow technologies,Engineering Services,Product Engineering Services,Mumbai,Zodius Technology Fund,Private Equity,20000000
11-08-2015,infogain,Information Technology,Digital Transformation Services,New Delhi,ChrysCapital,Private Equity,63000000
12-08-2015,oneassist,Assistance Services,Personal & Asset Protection,Mumbai,Sequoia Capital,Private Equity,7500000
12-08-2015,bigbasket,E-commerce,Online Grocery,Bengaluru,Bessemer Venture Partners,Private Equity,50000000
12-08-2015,sheroes,Career Development,Women's Professional Network,Noida,Quintillion Media,Seed Funding,770000
12-08-2015,scripbox,FinTech,Wealth Management,Bengaluru,Accel Partners,Private Equity,2500000
13-08-2015,etaout,Unknown,Unknown,Noida,Amit Ranjan,Seed Funding,500000
13-08-2015,ifmr holdings,Financial Services,Financial Inclusion,Chennai,Accion,Private Equity,25000000
13-08-2015,agrostar,Agri-Tech,Agri-Input & Advisory Platform,Pune,IDG Ventures,Private Equity,4000000
14-08-2015,voxweb,Social Media,Social Networking,Mumbai,Jitendra Gupta & others,Seed Funding,100000
14-08-2015,trukky,Logistics,Freight Marketplace,Ahmedabad,Gujarat based angel investors,Seed Funding,245000
17-08-2015,edu4share,EdTech,Educational Resource Sharing,New Delhi,Nalin Jain & other angel investors,Seed Funding,220000
17-08-2015,sampurnearth,Waste Management,Organic Waste Management,Mumbai,Intellecap Impact Investment Network,Seed Funding,160000
17-08-2015,shadowfax,Logistics,Last-Mile Delivery,Gurugram,Kunal Bahl,Seed Funding,310000
18-08-2015,roposo,Social Media,Short-form Video Platform,Gurugram,Tiger Global,Private Equity,15000000
18-08-2015,intelligence node,Business Intelligence,Competitive Intelligence,Mumbai,New Enterprise Associates,Private Equity,4200000
18-08-2015,hyperverge,Artificial Intelligence,Identity Verification,Chennai,NEA,Seed Funding,1000000
18-08-2015,zoojoo.be,Human Resources,Employee Engagement,Bengaluru,RoundGlass Partners,Private Equity,1000000
19-08-2015,timesaverz,Home Services,On-demand Marketplace,Mumbai,Unilazer Ventures,Private Equity,2400000
19-08-2015,mebelkart,E-commerce,Furniture E-commerce,Bengaluru,AskMe,Private Equity,20000000
20-08-2015,labsadvisor,Unknown,Unknown,New Delhi,Group of Angel Investors,Seed Funding,156000
20-08-2015,flatpebble,Industrial Technology,AI-powered Quality Inspection,Hyderabad,Indian Angel Network,Seed Funding,600000
20-08-2015,bluegape,Digital Media,User-Generated Content Platform,New Delhi,ah! Ventures,Seed Funding,600000
21-08-2015,epoise,Unknown,Unknown,Bengaluru,Orios Venture Partners,Seed Funding,500000
24-08-2015,jolly food fellow,Food & Beverage,Unknown,Ahmedabad,The 1947,Seed Funding,300000
24-08-2015,bookmein,Software,Online Booking Platform,Mumbai,Ajmera Group of Companies,Seed Funding,400000
25-08-2015,qyk app,On-Demand Services,Local Service Marketplace,Bengaluru,GrowX ventures,Private Equity,1000000
25-08-2015,eazydiner,FoodTech,Restaurant Reservations & Deals,Gurugram,DSG Consumer Partners,Private Equity,3000000
25-08-2015,revx,AdTech,Mobile Programmatic Advertising,Mumbai,Norwest Venture Partners,Private Equity,4000000
25-08-2015,icustomadeit,E-commerce,Customization Platform,Pune,Group of Angel Investors,Seed Funding,250000
26-08-2015,pickmylaundry,Consumer Services,Laundry Services,New Delhi,GHV Accelerator,Seed Funding,100000
26-08-2015,belita,Beauty & Personal Care,On-Demand Beauty Services,Mumbai,India Quotient,Seed Funding,400000
26-08-2015,foodtalkindia,Digital Media,Food Content & Discovery,Gurugram,Undisclosed Investor,Seed Funding,500000
28-08-2015,vyomo,Beauty & Wellness,Beauty Services Marketplace,Bengaluru,Rocket Internet,Private Equity,2000000
28-08-2015,rollmafia,Food Service,Quick Service Restaurant (QSR),Pune,Equentia Natural Resources,Seed Funding,160000
31-08-2015,dropkaffe,Food & Beverage,Coffee,Bengaluru,Manish Singhal,Seed Funding,300000
31-08-2015,reverie,Artificial Intelligence,Natural Language Processing (NLP),Bengaluru,Aspada Investment Advisors,Private Equity,4000000
01-07-2015,cloudcherry analytics,Customer Experience Management,Customer Experience Analytics,Chennai,The Chennai Angels,Seed Funding,1000000
01-07-2015,handyhome,Home Services,Home Service Marketplace,Mumbai,Bessemer Ventures,Seed Funding,630000
01-07-2015,nxtgen,Information Technology,Cloud & Data Center Services,Bengaluru,IFC,Private Equity,13500000
02-07-2015,bank bazaar,FinTech,Online Financial Marketplace,Chennai,Amazon,Private Equity,60000000
02-07-2015,gozoomo,Automotive,Used Car Marketplace,Bengaluru,SAIF Partners,Private Equity,5000000
02-07-2015,zenatix,Smart Building Technology,Energy Management,Gurugram,Rajan Anandan,Seed Funding,161000
03-07-2015,culturealley,EdTech,Language Learning,Jaipur,Tiger Global,Private Equity,6500000
03-07-2015,gingercrush,E-commerce,Customized Merchandise,Ahmedabad,Gokul Jaykrishna,Seed Funding,1000000
04-07-2015,stitchwood,Retail,Furniture Retail,Mumbai,Powai Lake Ventures,Seed Funding,395000
06-07-2015,paper boat,Food & Beverage,Beverages,Gurugram,Sofina,Private Equity,30000000
07-07-2015,wudstay,Hospitality,Online Hotel Booking,Gurugram,Mangroves Capital Partners,Private Equity,3000000
07-07-2015,liases foras,Unknown,Unknown,New Delhi,DMG information Asia Pacific,Private Equity,5000000
08-07-2015,saavn,Media & Entertainment,Music Streaming,Mumbai,Tiger Global Management,Private Equity,100000000
08-07-2015,flytxt,Enterprise Software,AI-powered Customer Value Management,Mumbai,Sunrise Capital GmBH,Private Equity,11000000
08-07-2015,axtria,Life Sciences,Commercial Analytics,India,Helion Venture Partners,Private Equity,30000000
08-07-2015,33coupons,E-commerce,Coupon Aggregation,Kanpur,Not Disclosed,Seed Funding,20000
08-07-2015,hopping chef,Food Services,Catering,Mumbai,Mirah Hospitality,Seed Funding,470000
08-07-2015,collectabillia,Collectibles,Sports & Entertainment Memorabilia,Bengaluru,Accel Partners,Private Equity,7500000
08-07-2015,lendingkart,FinTech,Business Lending,Ahmedabad,Saama Capital,Private Equity,10000000
08-07-2015,lybrate,HealthTech,Telemedicine,New Delhi,Tiger Global Management,Private Equity,10200000
08-07-2015,zoomcar,Mobility,Car Rental,Bengaluru,Sequoia Capital,Private Equity,11000000
09-07-2015,news in shorts,Media,News Aggregation,Noida,Tiger Global,Private Equity,20000000
09-07-2015,bluestone,Retail,Fine Jewelry,Bengaluru,IvyCap Ventures,Private Equity,16200000
10-07-2015,infinity assurance,,Warranty Programs Service Administration,New Delhi,Indian Angel Network,Seed Funding,600000
10-07-2015,footprints education,,Pre-School Chain,Gurugram,LetsVenture,Seed Funding,685000
10-07-2015,loylty rewards,,Premium Loyalty Rewards Point Management,Mumbai,IndianIdeas.com,Private Equity,19350000
13-07-2015,ameyo,,Contact Center Software Platform,Gurugram,Forum Synergies PE Fund,Private Equity,5000000
13-07-2015,mamagoto,Food & Beverage,Casual Dining,New Delhi,Goldman Sachs,Private Equity,10000000
14-07-2015,mysmartprice,,Online comparison engine,Hyderabad,Accel Partners,Private Equity,10000000
14-07-2015,boxmyspace,,Physical Storage warehouses,Mumbai,Ritesh Veera,Seed Funding,300000
14-07-2015,hackerrank,,Tech Recruitment platform,Bengaluru,HR Technology fund,Private Equity,7500000
14-07-2015,wickedride,,Bike Rental Platform,Bengaluru,Undisclosed,Seed Funding,790000
14-07-2015,wowexpress,,Tech enabled logistics platform,Mumbai,Tamarind Family Private Trust,Seed Funding,500000
15-07-2015,oyo rooms,,Budget Hotel Accommodation,Gurugram,Softbank,Private Equity,100000000
15-07-2015,mobikon,,Restaurant customer engagement platform,Pune,Jungle Ventures,Private Equity,2300000
15-07-2015,roadrunnr,,Hyper local logistics platform,Bengaluru,Sequoia Capital,Private Equity,11000000
16-07-2015,ketto,,Crowd Funding Platform,Mumbai,Pradyumna Dalmia,Seed Funding,700000
17-07-2015,quikwallet,,F&B sector Mobile Payment platform,Mumbai,Snow Leopard Technology Ventures,Private Equity,1600000
17-07-2015,omnikart,,Industrial Supplies B2B ecommerce,Mumbai,Sumit Gandhi,Seed Funding,100000
20-07-2015,zo rooms,,Online budget hotel chain,New Delhi,Tiger Global,Private Equity,15000000
20-07-2015,innoviti,,Payment Solutions platform,Bengaluru,Catamaran Ventures,Private Equity,4850000
21-07-2015,joy by nature,,Organic Food ecommerce,New Delhi,Mumbai Angels,Private Equity,1000000
22-07-2015,iqlect,,Big Data & Analytics platform,Bengaluru,Exfinity Venture Partners,Private Equity,2000000
22-07-2015,degustibus,,Fine Dining Restaurant Chain,Mumbai,India Value Fund Advisors,Private Equity,30000000
23-07-2015,nestaway,,Luxury Rental Homes,Bengaluru,Flipkart,Private Equity,12750000
23-07-2015,mswipe,,Mobile Point of Sale payment solution,Mumbai,Falcon Edge Capital,Private Equity,25000000
23-07-2015,myonsto,,Online Grocers,Ahmedabad,Jayant Bokadia,Seed Funding,320000
23-07-2015,medgenome,,Clinical Genomics Provider,Bengaluru,Sequoia Capital,Private Equity,20000000
23-07-2015,holidayiq,,Travel information portal,Bengaluru,MakeMyTrip,Private Equity,15000000
23-07-2015,fitternity,,Fitness Marketplace,Mumbai,Exfinity Venture Partners,Private Equity,1000000
23-07-2015,quikr,,Online & Mobile classified listings,Mumbai,AB Kinnevik,Private Equity,60000000
24-07-2015,broex,,Real Estate Broker network App,Gurugram,Lightspeed India,Private Equity,1000000
25-07-2015,credr,,Used Bikes Marketplace,Mumbai,Fidelity Growth Partners,Private Equity,15000000
27-07-2015,managemyspa,,Spa & Salon Management Software,Hyderabad,Accel Partners,Private Equity,6000000
28-07-2015,pepperfry,,Online home dxc3xa9cor marketplace,Mumbai,Goldman Sachs,Private Equity,100000000
28-07-2015,flipkart,,Online Marketplace,Bengaluru,Steadview Capital and existing investors,Private Equity,700000000
28-07-2015,opinio,,Hyperlocal food & grocery store,Bengaluru,Accel Partners,Seed Funding,1300000
28-07-2015,zoctr,,Health-Tech platform,Mumbai,Sandeep Parwal,Seed Funding,1000000
29-07-2015,zimmber,,Hyperlocal Handyman Services,Mumbai,IDG Ventures India,Private Equity,2000000
29-07-2015,truehb,,Medical Tech Instruments,New Delhi,Sachin and Binny Bansal,Seed Funding,2400000
29-07-2015,zovi,,Hyperlocal Deals Marketplace,Bengaluru,Paytm,Private Equity,50000000
29-07-2015,swajal,,Innovative Water Solutions,Gurugram,Abhishek Gupta,Private Equity,1200000
30-07-2015,pipa bella,,Online Jewelry Store,Mumbai,LionRock Capital,Private Equity,600000
30-07-2015,pragmatix,,Business intelligence & Analytics,Mumbai,SIDBI Venture Capital Ltd,Private Equity,2400000
30-07-2015,droom,,Used Vehicle Marketplace,New Delhi,Lightbox Ventures,Private Equity,16000000
30-07-2015,madrat games,,Educational Board Games,Bengaluru,Kunal Bahl,Seed Funding,168000
30-07-2015,noodle play,,Chinese food delivery,Mumbai,Elliot Stechman,Seed Funding,168000
31-07-2015,lazylad,,Hyperlocal Grocery App,Gurugram,Jai Choi,Private Equity,500000
31-07-2015,prothom,,Hasbro Toy Manufacturer,Pune,Oliphabs Capital,Private Equity,2000000
31-07-2015,bona vita,,Travel Tech,Gurugram,MakeMyTrip,Private Equity,5000000
01-06-2015,veeba foods,,Healthy Food Manufacturer,New Delhi,DSG Consumer Partners,Private Equity,6000000
01-06-2015,truebil,,Used Car Marketplace,Mumbai,Kae Capital,Seed Funding,500000
01-06-2015,meritnation,,Online Learning Platform,New Delhi,InfoEdge,Private Equity,4000000
01-06-2015,eattreatonline,,Healthy Food Online Community,New Delhi,Group of 15 Angel Investors,Seed Funding,350000
01-06-2015,glamrs,,Online Fashion Video Portal,Mumbai,Ventureworks India,Private Equity,1000000
01-06-2015,proviera,,Probiotic Technology Products Manufacturer,Chennai,Infuse Ventures,Private Equity,550000
01-06-2015,arth designbuild,,Architectural Design & Consulting,Hyderabad,Srinivas Tirupati,Seed Funding,500000
02-06-2015,saama,,Big Data & Analytics Services,Pune,Carrick Capital Partners,Private Equity,35000000
02-06-2015,allizhealth,,Preventive Healthcare Services,Pune,Mumbai Angels & Other angel investors,Seed Funding,350000
03-06-2015,propstack,,Real Estate Intelligence Platform,Mumbai,DMG Information,Private Equity,3000000
03-06-2015,mytaxiindia,,Online Car Rental Affiliates,New Delhi,Green House Ventures,Seed Funding,100000
03-06-2015,arkin net,,Data Center Software platform,Pune,Nexus Venture Partners,Private Equity,15000000
03-06-2015,little black book delhi,,Online City & Lifestyle Guide,New Delhi,Rajan Anandan,Seed Funding,150000
03-06-2015,icustomadeit,,Bespoke Merchandize Marketplace,Pune,Virendra Shahney,Seed Funding,250000
04-06-2015,ecom express,,Logistics Solution Provider,New Delhi,Warburg Pincus,Private Equity,137000000
04-06-2015,vidooly,,Video Intelligence Platform,Noida,Bessemer Venture Partners,Private Equity,1000000
04-06-2015,zopper,,Hyperlocal Shopping App,Mumbai,Tiger Global,Private Equity,20000000
04-06-2015,flipkart,,eCommerce platform,Bengaluru,Morgan Stanley,Private Equity,50000000
05-06-2015,medwell ventures,,HealthcarenService provider,Bengaluru,Fidelity Growth Partners,Private Equity,10000000
05-06-2015,jugnoo,,Auto Rickshaw Based Services,Chandigarh,Snow Leopard,Private Equity,5000000
08-06-2015,applied solar technologies,,Off-grid Solar Power,Mumbai,Future Fund,Private Equity,40000000
09-06-2015,clovia,,Private Label lingerie Ecommerce,New Delhi,IvyCap Ventures,Private Equity,5000000
09-06-2015,swiggy,,Online Food Ordering,Bengaluru,Norwest Venture Partners,Private Equity,16500000
09-06-2015,paymango,,Mobile Commerce Platform,Gurugram,Group of Angel Investors,Seed Funding,234000
09-06-2015,teritree,,Digital Marketing Services,Bengaluru,KCL,Seed Funding,140000
10-06-2015,voonik,,Fashion Ecommerce store,Bengaluru,Sequoia Capital,Private Equity,5000000
11-06-2015,adstringo,,Mobile Compression Software,Mumbai,Arihant Patni,Seed Funding,350000
11-06-2015,faircent,,Peer to Peer Lending platform,Gurugram,M&S Partners Pte. Ltd,Seed Funding,250000
12-06-2015,la renon,,Global Healthcare products,Ahmedabad,Sequoia Capital,Private Equity,16000000
15-06-2015,homelane,,Home Furnishing Solutions,Bengaluru,Sequoia Capital,Private Equity,50000000
15-06-2015,shippr,,Intra-City Logistics service,Bengaluru,i2india Pvt Ltd,Seed Funding,500000
16-06-2015,couponraja,,Online Coupon & comparison platform,Mumbai,Mahesh Pratapneni,Seed Funding,500000
17-06-2015,mydentist,,Dental Clinic chain,Mumbai,LGT Group,Private Equity,8200000
18-06-2015,fracktal works,,3D Printer Manufacturer,Bengaluru,Neoteric Infomatique Limited,Private Equity,3000000
18-06-2015,hansa customer equity,,IT / Customer Engagement Consulting,Mumbai,ASK Pravi,Private Equity,5000000
19-06-2015,housejoy,,Home services marketplace,Bengaluru,Matrix Partners,Private Equity,4000000
19-06-2015,fundsindia,,Financial Services Platform,Chennai,Faering Capital,Private Equity,11000000
20-06-2015,cupick,,Social Network for Artists,Bengaluru,Group of Angel Investors from US/India,Seed Funding,120000
20-06-2015,tracxn,,Startup funding platform,Bengaluru,Sachin Bansal,Private Equity,10000000
21-06-2015,holachef,,Food Delivery Platform,Mumbai,Kalaari Capital,Private Equity,3100000
22-06-2015,elong,,Data Driven recruitment recommendation,Bengaluru,Kunal Bahl,Private Equity,5000000
22-06-2015,vidgyor,,Video Advertisement Platform,Bengaluru,AngelPrime,Seed Funding,500000
23-06-2015,goodservice,,Mobile Chat based concierge service,New Delhi,Sequoia Capital,Private Equity,1600000
23-06-2015,treebo,,Online Budget Hotel Booking Service,Bengaluru,Matrix Partners India,Private Equity,6000000
23-06-2015,edukart,,Online education marketplace,New Delhi,Holostik Group,Private Equity,1000000
24-06-2015,indix,,SaaS product intelligence platform,Chennai,Nokia Growth Partners,Private Equity,15000000
24-06-2015,the porter,,Logistics Tech,Mumbai,Sequoia Capital,Private Equity,5500000
24-06-2015,retention.ai,,App Analytics platform,Bengaluru,Mercury Fund,Seed Funding,500000
25-06-2015,fusion microfinance,,Micro Finance Platform,New Delhi,Development finance institution Belgian Investment Company,Private Equity,8600000
25-06-2015,zinka,,Freight logistics platform,Bengaluru,Accel Partners,Private Equity,6000000
